大分類,中分類,教材コード,リリース,コース名,時間,形式,内容,"キャリアアップ
措置の種別",レッスン数,テスト有,システムID
キャリアアップ,人材育成,CARR04-007,〇,部下・後輩の「叱り方＆育て方とは？」（中級）,1:00:00,HTML,若手社員の育成方法としての「ほめ方・𠮟り方」の効果をさらに高めるために注意するべきポイントやスキルを解説します。若手社員を導く上司はどうあるべきかということから、信頼関係の構築方法、褒める・叱るの比率や順番などを学び、若手社員の能力をさらに引き出せるようになりましょう。,階層別訓練,1,〇,6104
キャリアアップ,人材育成,CARR04-008,〇,部下・後輩の「叱り方＆育て方とは？」（上級）,1:00:00,HTML,「褒める・叱る」で育てるべき対象は誰かということから、ケースごとの叱り方、褒める・叱るで育てるときの悩みなど、「ほめ方・𠮟り方」を実行していく過程で、ぶつかる問題や生じてくる疑問点を、できる限り多く取り上げることにより、具体的な事例に即しての解決法を学びましょう。,階層別訓練,1,〇,6105
キャリアアップ,人材育成,CARR04-009,〇,メンバー育成方法を学ぶ,1:00:00,HTML,本講座では、仕事の様々な場面で遭遇するシチュエーションを通してメンバーの育成のための注意点、育成の実践方法等について学習します。メンバーへの動機付けや仕事のフォローから個性の尊重やチャレンジ精神の育み方、褒め方・叱り方など、メンバーを育成する上で欠かせないスキルを身に着けましょう。,階層別訓練,1,〇,6106
キャリアアップ,人材育成,CARR04-010,〇,効果的な部下の指導法を学ぶ,1:00:00,HTML,部下を持つ立場として欠かせないマネジメントの考え方や管理者に必要な3つの能力、リーダーシップ、部下のタイプ別指導方法を解説します。マネジメントの定義や管理者に必要なヒューマンスキル、コミュニケーションスキル、部下の指導方法を理解し、部下に効果的な指導ができるようになりましょう。,階層別訓練,1,〇,6107
キャリアアップ,人材育成,CARR04-011,〇,部下が育つ上手なほめ方・しかり方とは？,1:00:00,HTML,人の心を動かすコミュニケーション術や人を管理・統制するためのコミュニケーション術、部下を育てる自己開示法、効果的な組織コミュニケーションの戦略など、上司に必要なコミュニケーション能力を解説します。部下を上手に育てるコツを理解して、今どきの部下の”ヤル気”を引き出しましょう。,階層別訓練,1,〇,6108
キャリアアップ,人材育成,CARR04-012,〇,人がおもしろいように育つ【ホメ】【シカ】理論,0:36:47,動画,人をうまく育てるには褒める・叱るの両方が必要になります。本コースでは、ウソをつくミスを隠す部下、意見を言いたがる部下、プレッシャーに弱い部下、あなたを嫌う部下、何度も失敗を繰り返す部下、女性部下との関わり方など、部下のタイプに合わせた褒め方・叱り方、育て方を理論的に解説します。,階層別訓練,10,-,3376
キャリアアップ,人材育成,CARR04-013,〇,部下を知る、部下と対話する,0:43:25,動画,メンバーを知らないと何も成功しません。上司が部下を深く理解するための秘訣とは何か、部下とのコミュニケーションのとり方での留意点は何か。経験者インタビューやケースドラマを交えた構成で、部下に対するスタンスを学びます。普段の自分自身の部下との接し方を思い浮かべながら学習することがポイントです。,階層別訓練,4,-,11739
キャリアアップ,人材育成,CARR04-014,〇,自ら考え動く部下に育てる,1:23:41,動画,「なにごとも経験だ」のひとことで部下を放任してしまっては人は育ちません。経験が学習となって成長に結びつくには、適切な業務のアサイン、動機付け、指導が重要です。本コースではティーチングとコーチングの使い分けなど、部下を育てるための、より具体的な手法やコミュニケーションのとり方などを解説します。,階層別訓練,6,-,11738
キャリアアップ,人材育成,CARR04-015,〇,リモートワークにおけるOJTの進め方講座,0:58:13,動画,本講座では、リモートワークにおいてどのようなことに配慮しながらOJTをすればよいかを学べます。OJTの基本と、オンラインのコミュニケーションの特徴をおさえることで、リモートワークにおいても効果的なOJTの進め方を実現できます。オンラインでのOJTやコミュニケーションの方法を学び、効率の良い人材育成を行いましょう。,階層別訓練,5,-,12228
キャリアアップ,人材育成,CARR04-016,〇,はじめてのメンター講座,0:17:02,動画,メンターという言葉に聞き覚えのある人は多いものの、実際にメンターを任された際、どのように部下や後輩を育成していくか、悩んでいる方も多いのではないでしょうか。本講座では、メンター制度の基本知識と、円滑な人間関係を築きながらメンター制度を効果的に使いこなす方法を学びます。,職能別訓練,1,-,12543
キャリアアップ,人材育成,CARR04-017,〇,理念浸透講座,0:26:58,動画,理念策定・理念浸透プロジェクトにおけるゴール設定の意義、理念体系の一般的な型・要件・策定プロセスについて学びます。理念浸透の意味とプロセスについて事例を含めた解説を織り込み、理念浸透プロジェクトが目指すものについて考えます。,職能別訓練,4,-,12548
コミュニケーション,コミュニケーション,COMU01-001,〇,意識マナー・コミュニケーション表現技術スペシャリストへの道～伝える力講座編,0:17:56,動画,本コースでは伝達力をアップさせる3つのポイント、多数の方に訴求する必要があるプレゼン・会議・講義や、一対一の営業、接客など様々な場面で活用できるスピーキング・テクニック、スピーチ・プレゼンテーションを成功させるオープニングの5S、スピーチ・プレゼンテーションの導入の仕方を解説します。,階層別訓練,5,-,2344
コミュニケーション,コミュニケーション,COMU01-002,〇,魂を揺さぶる話し方,1:41:24,動画,従来の日本におけるコミュニケーションは、「味方を作るより敵を作らない」といった風土がありましたが、これからのコミュニケーションには違う精神が求められます。本コースでは、コミュニケーションに必要な考え方・精神を解説します。コミュニケーションの考え方だけでなく、自身の過去現在未来の捉え方も変わります。,階層別訓練,7,-,2350
コミュニケーション,コミュニケーション,COMU01-003,〇,現場で即使える本物のコミュニケーションスキル,1:57:44,動画, これからの時代のコミュニケーション、コミュニケーションの原理原則、相手の立場に立つ、「常識」「評価」「損得」を手放す など、現場で使えるコミュニケーションスキルについて学びます。コミュニケーションのポイントを理解して適切なコミュニケーションを取れるようになりましょう。,階層別訓練,7,-,2353
コミュニケーション,コミュニケーション,COMU01-004,〇,２時間でわかる影響力のテクノロジー,1:57:21,動画,影響力とは、慣れと飽き、コミュニケーションにおける2つのポイント、相手のセルフイメージを高める、ギャップの使い方、自分の話が相手のどこに届いているかを意識するなど、コミュニケーションで相手に影響を与えるポイントを学びます。自分の話を相手に的確に伝えられるようになりましょう。,階層別訓練,8,-,3400
コミュニケーション,コミュニケーション,COMU01-005,〇,ピンチをチャンスに変える「うまい」謝罪のマニュアル,1:44:52,動画,本コースでは、謝罪の基本5原則「相手に好かれる」「相手に恩を売る」「許す理由を説明する」「小さなイエスを手に入れる」「権威の力を利用する」、やってはいけない謝罪、上手な弁解の仕方について解説します。人生やビジネスにおいてピンチをチャンスに変える力を身につけましょう。,階層別訓練,8,-,2874
コミュニケーション,コミュニケーション,COMU01-006,〇,クレーム対応で企業力UPを目指す,1:00:00,HTML,クレームは対応を間違えると更なるクレームに発展してしまうこともあります。クレームを言うお客様、言わないお客様の気持ちとそこから聞こえてくる声の役割や重要性を学び、クレーム対応はサービスの気持ちの表れであることを理解した上で、基本的な窓口対応・電話対応のマナーを学習します。,階層別訓練,1,〇,6453
コミュニケーション,コミュニケーション,COMU01-007,〇,コミュニケーションスキルを学ぶ,1:00:00,HTML,会社でのコミュニケーションは相手の立場に応じてそれぞれポイントがあります。本コースでは上司・同僚・部下・グループ間・顧客とそれぞれの関係に合わせたコミュニケーションのポイントを学びます。相手の立場に合わせて適切なコミュニケーションを取り、良好な人間関係を構築しましょう。,階層別訓練,1,〇,6128
コミュニケーション,コミュニケーション,COMU01-010,〇,元芸人が教える！笑いのスキルは大人の上質な気配り講座（基本編）,1:04:13,動画,日頃からコミュニケーションにより深い人間関係を構築しているとトラブルが発生してもスムーズに解決できたり、ビジネスチャンスにつながったりします。笑いを取るための褒めツカミ、リアクション、話の聞き方といった笑いのスキルを身に着け、より深いコミュニケーションを取れるようになりましょう。,階層別訓練,8,-,9362
コミュニケーション,コミュニケーション,COMU01-011,〇,元芸人が教える！笑いのスキルは大人の上質な気配り講座（スキル編）,0:46:28,動画,日頃からコミュニケーションにより深い人間関係を構築しているとトラブルをスムーズに解決できたり、ビジネスチャンスにつながったりします。フレンドリーで笑いが起こる言い方・言葉遊び、観察力と洞察力、ネタ収集、擬音ジェスチャーについて学び、コミュニケーションスキルを向上させましょう。,階層別訓練,6,-,9377
コミュニケーション,コミュニケーション,COMU01-012,〇,コミュニケーションスキル（初級）～コミュニケーションは幸福の原点～,1:04:18,動画,なぜ挨拶や報告といったコミュニケーションが必要なのか、コミュニケーションの4つのセオリー、緊張を返還する方法、アウェイ感を克服する方法、セルフコミュニケーションについて学びます。コミュニケーションの基礎から学び、自分で納得してコミュニケーションが取れるようになりましょう。,階層別訓練,11,-,9367
コミュニケーション,コミュニケーション,COMU01-013,〇,一流芸人が実践！ビジネスを円滑にする「空気を読む力と会話術」,1:08:55,動画,”空気を読む力”は一般のビジネスマンにも必要不可欠なスキルです。例えば、お客様に説明する時、必要以上に長く喋る、見当違いの返しを連発してしまう人がいます。芸人の舞台裏から学べる”空気を読む力”と”会話術”を、実際のリアルなビジネスやプライベートの1シーンに当てはめながら、解説していきます。,階層別訓練,10,-,10063
コミュニケーション,コミュニケーション,COMU01-014,〇,アニメで学ぶ窓口応対口座,0:08:38,動画,丁寧に接しているつもりでも、相手のことを尊重せずに対応してしまうとクレームに繋がってしまうことがあります。本コースでは、アサーティブコミュニケーションの基本を解説します。窓口応対の良い例・悪い例のケース映像を見比べて、アサーティブコミュニケーションの理解を深めましょう。,職能別訓練,1,-,10237
コミュニケーション,コミュニケーション,COMU01-015,〇,会議における議論の進め方,0:22:01,動画,本コースでは、会議で主張する際のプロセスや留意点、アイディアを生み出す議論の進め方、アイディア発散・収束の留意点、意思決定・合意形成を行う際の議論の進め方等、ミーティングなどの場面で、参加者同士が論理的かつ、建設的な議論、ディスカッションを行うために必要なスキルを解説します。,階層別訓練,1,-,10287
コミュニケーション,コミュニケーション,COMU01-016,〇,質問と傾聴のスキル,0:24:31,動画,自分の知りたいことを単純に相手に質問するだけでは、質問する側とされる側の双方が必ずしも満足できる結果にはならず、上手な質問のやり方とは言えません。 本コースでは部下を持つ上司や営業の現場で必ず必要となる「相手の考えや本音を効率よく引き出す」ための質問と傾聴の技法について解説いたします。,階層別訓練,3,-,10273
コミュニケーション,コミュニケーション,COMU01-017,〇,その怒りのおさえ方,0:19:36,動画,とある営業所を舞台に、ふとしたことで周囲に怒りをぶつけてしまうケースを通して、怒りのおさえ方を学ぶことができます。全７つのケース映像と方法を通して、自身の感情との付き合い方を身に着けましょう。すぐに実践できるポイントの他、なぜ自分の怒りが生じているのかを知るためのポイントも解説しています。,階層別訓練,7,-,10477
コミュニケーション,コミュニケーション,COMU01-018,〇,コミュニケーションスキル（中級）～魅力とコミュニケーション～,1:07:31,動画,コミュニケーションは内容以上に「誰からの話か」ということが重要になります。本コースではコミュニケーションを円滑にする魅力の高め方、人と差がつく受け取り方、人を引きつける話し方などを解説します。あなたらしい魅力を高め、仕事だけでなく大切な人とのコミュニケーションを向上し、人生を豊かにしましょう。,階層別訓練,13,-,10884
コミュニケーション,コミュニケーション,COMU01-019,〇,クレーム対応（接客編）,0:12:53,動画,お客様と接する上で忘れてはならないことは「どうすればお客様にご満足いただけるか」ということです。そのためには、お客様からのクレームにもCSを意識して真摯に対応する必要があります。本コースでは、クレーム対応がうまくいかない理由やクレーム対応の4つの基本手順などを、ケースドラマを交えて解説します。,職能別訓練,1,-,11733
コミュニケーション,コミュニケーション,COMU01-020,〇,クレーム対応（電話応対編）,0:05:27,動画,もし電話でクレームを受けたら、あなたは冷静に対応できますか。お詫びのポイントや共感のあいづちや相手の気持ちと事実の理解など、電話でのクレーム応対について、ケースドラマを交えて解説いたします。電話でのクレーム対応のポイントをきちんと理解して、落ち着いて対応できるようになりましょう。,職能別訓練,1,-,11732
コミュニケーション,コミュニケーション,COMU01-021,〇,クレーム対応（訪問編）,0:06:18,動画,対面でのクレーム対応はどのようなことに気を付けるべきでしょうか。本コースでは、お詫びや事実確認、クッション言葉など、訪問してクレーム対応をする際のポイントを、ケースドラマを交えて解説します。訪問してクレーム対応をする際のポイントを理解し、冷静に対応できるようになりましょう。,職能別訓練,1,-,11731
コミュニケーション,コミュニケーション,COMU01-022,〇,コミュニケーション講座,0:58:53,動画,本講座では、コミュニケーションの必要性や難しさについて問いかけやワークからそのメカニズムについて解説します。講義後半では、良い聞き手となるための傾聴スキルや、PREP法など正確に伝えるポイントを紹介します。,階層別訓練,5,-,11837
コミュニケーション,コミュニケーション,COMU01-023,〇,対人関係構築講座,0:25:57,動画,本講座では、対人関係構築に役立つコミュニケーションスキルを学んだ後、仕事に関わる人をソーシャルスタイル別に分類し、それぞれどう関わるべきか考えていきます。講座の中では具体的に、自己肯定感の上げ方やコミュニケーションが苦手な人の対策方法など、日常で使えるテクニックを学べます。,階層別訓練,1,-,11836
コミュニケーション,コミュニケーション,COMU01-024,〇,マンガで分かるクレーム対応講座,0:24:51,動画,接客でのクレーム対応の際、パニックに陥ってしまうことは少なくありません。本講座では、コンビニでのクレーム対応を例にしたケースドラマを交えて、クレーム対応の基本や、悪意を持ったクレームに対応する方法も紹介しています。正しいクレーム対応術を身に着け、どのようなクレームにも対応できるようになりましょう。,階層別訓練,1,-,12742
コミュニケーション,コミュニケーション,COMU01-025,〇,論理的なコミュニケーション講座,0:48:57,動画,ビジネスにおける情報伝達をわかりやすく、円滑に行うために必要不可欠な論理的なコミュニケーションについて、「伝えたい動機」「伝えるべき中身」「伝えるための技術」の３つの観点から解説します。MECEやロジックツリーなどの基本的なフレームワークをおさえながら、具体的なケースを想定して学ぶことができます。,階層別訓練,6,-,12743
コミュニケーション,コミュニケーション,COMU01-026,〇,ケースで考えるCS向上講座,0:07:12,動画,本講座では、様々なシーンにおけるCS向上のポイントをケース映像とともに解説していきます。日常で気を付けるべきポイントをおさえることで、すぐに活用できる知識を身に着けることができます。日常で体験したことがある場面が多いので、CS向上に貢献できることを身近に感じられます。,職能別訓練,1,-,13339
コミュニケーション,コミュニケーション,COMU01-027,〇,ケースで考えるCS（コールセンター編）,0:05:54,動画,本講座では、様々な状況におけるＣＳ（顧客満足度）向上について、コールセンターでの接客のケースを例に考えていきます。コールセンターでの対応以外でも、電話でお客様と接する上での基本的なノウハウやコツを紹介していますので、幅広い場面で応用できる教材になっています。社内編、コールセンター編と合わせてご利用いただくと、よりCSについて学びを深めることができます。,職能別訓練,1,-,13342
コミュニケーション,コミュニケーション,COMU01-028,〇,ケースで考えるCS（コンビニ編）,0:04:50,動画,本講座では、様々な状況におけるＣＳ（顧客満足度）向上について、コンビニでの接客のケースを例に考えていきます。コンビニでの接客対応以外でも、お客様と直に接する上での基本的なノウハウやコツを紹介していますので、幅広い場面で応用できる教材になっています。対面での接客対応の基礎を学びましょう。,職能別訓練,1,-,13343
コミュニケーション,コミュニケーション,COMU01-029,〇,ケースで考えるCS（社内編）,0:04:26,動画,ＣＳ（顧客満足度）向上について、社内でのコミュニケーションを例に考えていきます。社員同士のやり取りにも工夫を加えることで、CSの向上につながります。社員同士でも気持ちのいいやり取りを心掛けましょう。コンビニ編、コールセンター編と合わせてご利用いただくと、よりCSについて学びを深めることができます。,職能別訓練,1,-,13344
コミュニケーション,コミュニケーション,COMU01-030,〇,ストーリーテリング講座,0:16:31,動画,本講座では、伝えたいコンセプトを想起させる印象的な体験やエピソードなどの物語を引用することで、聞き手に強く印象付ける手法、ストーリーテリングについて学びます。聞き手があまり乗り気でない話題でも、話し方によって相手のモチベーションを引き出すことができます。人を惹きつける会話術を身に着けましょう。,職能別訓練,1,-,13345
コミュニケーション,コミュニケーション,COMU01-031,〇,組織的なＣＳ対応,0:08:41,動画,本講座では、様々な部署や職種が自身の業務を全うしながらも、その先にあるお客さまの満足のため、組織的にCS向上を目指すための方法を解説します。異なった部署や立場によって起こる意見の食い違いなどをより良い方向へ調整しながら、組織全体でのCS向上を目指しましょう。,職能別訓練,1,-,13346
コミュニケーション,コミュニケーション,COMU01-032,〇,アサーティブ・コミュニケーション講座,0:30:39,動画,アサーティブとは、消極的でも攻撃的でもない自他尊重的な態度のことです。今日、様々な価値観を持つ人と快適にコミュニケーションしていくために、「アサーティブ・コミュニケーション」の力が必要になってきています。コミュニケーションの基本と聴き方を学び、アサーティブな態度を身につけましょう。,職能別訓練,3,-,13347
セルフマネジメント,メンタルヘルス,SELF01-001,〇,管理職のためのメンタルヘルス研修,0:40:00,スライド,管理者は自身だけでなく、部下のメンタルヘルスにも気を配らなければなりません。管理職と一般社員との違いや、管理監督者に求められる3つの予防、部下を指導する上で気を付けるべきこと、部下の不調への対処法を学びます。部下の不調にいち早く気づき、適切に対処できるようになりましょう。,階層別訓練,1,-,3185
セルフマネジメント,メンタルヘルス,SELF01-002,〇,セルフケア研修「メンタルヘルス～元気に働くために～」,1:00:00,スライド,働く上でストレスはどうしても生じてしまうものです。本コースではストレスの概要やストレスの原因、自分のストレス反応、うつ病のメカニズム、ストレスの対処方法について学びます。メンタルヘルスの基礎知識を身に着け、心身ともに健康な状態を保ち、長く働けるようになりましょう。,階層別訓練,1,-,3302
セルフマネジメント,メンタルヘルス,SELF01-003,〇,メンタルヘルス不調者発生時対処法を学ぶ,1:00:00,HTML,メンタルヘルス不調者が発生した場合のリスク、誤った対処法、専門医との連携、法律上の諸問題、4つのケア（セルフケア、ラインケア、事業場内産業保健スタッフ等によるケア、事業場外資源によるケア）について学びます。メンタルヘルス不調者の予防と発生してしまったときの注意点を理解しましょう。,階層別訓練,1,〇,6096
セルフマネジメント,メンタルヘルス,SELF01-004,〇,瞑想トレーニング,0:43:08,動画,本コースではスティーブ・ジョブスなど多くの成功者が実践し、ビジネス誌などでも取り上げられる「瞑想」について解説します。思考がクリアになる、集中力を高める、直感が鋭くなる、免疫力が高まり脳を活性化する、老化防止など、科学的に証明されている効果がたくさんある瞑想の実践方法を学びます。,階層別訓練,4,-,6082
セルフマネジメント,メンタルヘルス,SELF01-005,〇,メンタルヘルスのトラブル予防法とは？,1:00:00,HTML,メンタルヘルスとは何かということから企業におけるメンタルヘルスの意義、管理者の安全配慮義務、管理者がすべきこと、メンタル的なダメージの早期発見について学びます。職場のメンタルヘルス改善のため、管理者の立場ですべきことや必要なコミュニケーションスキルを学び、トラブルを予防しましょう。,階層別訓練,1,〇,6246
セルフマネジメント,メンタルヘルス,SELF01-006,〇,メンタルヘルス職場での感情コントロール,0:32:20,動画,働いていると様々な感情が起こりますが、感情がコントロールできなくなると働く上で自分にも周りにも不利益が生じます。この講座では、主に怒りの感情に焦点をあて、怒りの本質とは何かを知り、自らコントロールできるようになるアンガー・マネジメントの方法をご紹介します。,階層別訓練,1,-,11743
セルフマネジメント,メンタルヘルス,SELF01-007,〇,メンタルヘルス（ラインケア）講座,0:32:16,動画,管理者のメンタルヘルスに対する知識は、メンタルヘルス悪化の対策・対応につながります。本コースでは、職場のメンタルヘルスについて、メンタルヘルスを悪化させやすい人の特徴や、職場環境の問題点の把握と改善、メンタルヘルス悪化の防止など、管理者が行うべきラインケアの手法を解説します。,階層別訓練,1,-,11735
セルフマネジメント,メンタルヘルス,SELF01-008,〇,メンタルヘルス（セルフケア）講座,0:18:31,動画,メンタルヘルスの悪化は、個々の仕事にはもちろんのこと、組織全体にも悪影響を及ぼします。逆に、組織全体の心の健康レベルを引き上げることは、組織の活性化や生産の向上に繋がります。本コースでは、ストレスの影響や対処法、ストレスに強い人になる方法、ストレスを緩和するコミュニケーションなどを解説します。,階層別訓練,1,-,11734
セルフマネジメント,ストレスマネジメント,SELF02-001,〇,ストレスマネジメントとは？（初級）,1:00:00,HTML,仕事をしていく上でストレスを生じるのは当然のことです。本コースではストレスとは何か、ストレスに強い人・弱い人の性格や特徴、ストレス対処法、ストレスを軽減する良い目標の持ち方等を学びます。ストレスにうまく対処するスキルを身に着け、仕事を長く続けられるようになりましょう。,階層別訓練,1,〇,6094
セルフマネジメント,ストレスマネジメント,SELF02-002,〇,ストレスマネジメントとは？（中級）,1:00:00,HTML,ストレスの感じ方は人によって異なります。性格によるストレスの感じ方、ストレスの原因、ストレスを感じやすい人、性格ごとの傾向、コーピングについて学び、ストレスマネジメントへの理解を深めます。自分の性格によるストレスへの傾向を理解することで、適切にストレスに対処しましょう。,階層別訓練,1,〇,6095
セルフマネジメント,ストレスマネジメント,SELF02-003,〇,ストレスマネジメント,0:57:29,動画,ストレスの概要、ストレスを感じる要因、ストレス過剰状態の傾向、ストレスをコントロールする呼吸法やリラクゼーションテクニック、分析による理論的アプローチ、アファメーションを学びます。ストレスの原因と様々な対処法を学ぶことで、ストレスをコントロールできるようになりましょう。,階層別訓練,5,-,6083
セルフマネジメント,ストレスマネジメント,SELF02-004,〇,セルフケア研修「メンタルヘルス」新社会人のためのメンタルヘルス入門,1:00:00,スライド,社会人として働いていると様々なシーンでストレスを感じます。ストレスにうまく対処できないと業務に支障をきたすだけでなく、心身の健康を損なうことがあります。本コースでは、メンタルヘルスの基礎知識や新入社員に求められること、ストレスの概要、テレワークの心構えを解説します。,階層別訓練,1,-,11240
セルフマネジメント,モチベーションアップ,SELF03-001,〇,あなたの魅力を引き出す９つの力,1:35:10,動画,これからの迷えるマーケットを制するには「魅力」が重要になります。魅力を引き出す9つの力「準備力」「整理力」「瞬発力」「持続力」「同時力」「解釈力」「予測力」「決断力」「胆力」を学びます。あなたの魅力を引き出し、これからの人生をより豊かに生きていけるようになりましょう。,階層別訓練,6,-,2356
セルフマネジメント,モチベーションアップ,SELF03-002,〇,世界No.1セールス　桑原正守流〜１歩踏み出すツボとコツ〜,0:19:48,動画,一流であり続けるために必要なこと、人を応援させるエネルギーの原点、「苦は楽のため、楽は苦のため」、右脳に刻まれる本の読み方、「本気力」の磨き方、人生を豊かにするリスクの取り方、「人生は砂時計である」など、本質に気づくことで誰でも今すぐ実践できる、前に進む方法を紹介します。,階層別訓練,9,-,2303
セルフマネジメント,モチベーションアップ,SELF03-003,〇,世界No.1セールス　桑原正守の古典から学ぶ,0:04:41,動画,過去に学ぶことは多々あります。前に進むために一度立ち止まってみてはいかがでしょう。「小利を見れば則ち大事成らず」「義を見てせざるは勇無きなり」という古典から、目先の利益・保身に囚われずに、大きな志に基づくことを成し遂げ、世の中に必要なことに取り組めるようになりましょう。,階層別訓練,2,-,2304
セルフマネジメント,モチベーションアップ,SELF03-004,〇,世界No.1セールス　桑原正守流〜自分との付き合い方〜,0:04:25,動画,物事の本質は「自分を知ること」であり、これに気付く人は人生が変わります。本コースでは、「夢ややりたいことが見つからず何をしていいかわからない」という人が行動レベルに落とし込める夢との付き合い方、テンションとモチベーションの違いとモチベーション維持の方法を解説します。,階層別訓練,2,-,2305
セルフマネジメント,モチベーションアップ,SELF03-006,〇,軸と器の成功法則,1:53:10,動画,本来の自分の価値観・使命・理念を考えず、刷り込まれた常識・価値観で生きている人が多くなっています。「何をもってして『あなた』なのか。」を考えることがパーソナルミッションの入り口であり、あなたの「軸」になります。自分の価値観を見つけ、未来のために今何をすべきか考えられるようになりましょう。,階層別訓練,8,-,2351
セルフマネジメント,モチベーションアップ,SELF03-007,〇,ご縁と円の成功法則,1:42:05,動画,あなたという個性”をあなたの人生、ミッション、ビジネスに向けて組織化するパーソナルフォーメーションとは？ご縁とは人だけでなく出来事、案件、トラブルなども含まれます。出会いの意味と意義を感じ取り、育み、紡ぎ合うことで、夢ができた時やチャンスが来た時にすぐに行動できるよう準備をしましょう。,階層別訓練,7,-,2368
セルフマネジメント,モチベーションアップ,SELF03-008,〇,人生を楽しみ成果を上げる“たった3つの法則”,1:20:43,動画,人生を楽しみ成果を上げる3つの法則「心という畑を耕す・種を蒔く・種を育む」についてそれぞれ解説します。因果関係を考えることの大切さ、快楽と幸福の違いを学び、「好きなことではなく、価値あること」を大切にし、評価に動じず、ビジネスチャンスを逃さないために必要なマインドを身につけましょう。,階層別訓練,7,-,2367
セルフマネジメント,モチベーションアップ,SELF03-009,〇,自立型ハイパフォーマーのコツ （導入編）,0:43:18,動画,スポーツに「心技体」という言葉があるように、仕事においてもスキルだけ身につけても心が伴わなければ、高い成果を出すことはできません。本コースは自分のスキルを発揮して自分の価値を高めるための、「見て聞いて理解し、考え実践して、習慣として身に付ける為の実学講座」です。,階層別訓練,3,-,2184
セルフマネジメント,モチベーションアップ,SELF03-010,〇,世界No.1セールス　桑原正守流〜心の健康法〜,0:01:10,動画,日々の仕事に追われているなかで、最も重要なことは何か。脳内ホルモン「オキシトシン」は、「幸せホルモン」「愛情ホルモン」とも呼ばれ、ストレスを癒して心身の健康に貢献するホルモンです。オキシトシンを分泌させるためのコツを学び、ストレスを自分でコントロールできるようになりましょう。,階層別訓練,1,-,2302
セルフマネジメント,モチベーションアップ,SELF03-011,〇,ポジティブシンキングとは？（初級）,1:00:00,HTML,本コースでは、ポジティブシンキングの概要からABC理論、ゲシュタルト療法、自分の価値の見つけ方など、ポジティブシンキングに必要な知識や考え方を解説します。ポジティブシンキングを身に着けて感情の波をコントロールすることで、物事の捉え方を否定的から肯定的なものに変えましょう。,階層別訓練,1,〇,6091
セルフマネジメント,モチベーションアップ,SELF03-012,〇,ポジティブシンキングとは？（中級）,1:00:00,HTML,「ポジティブシンキング（初級）」で学んだこと（物事を肯定的に捉え、自分に自信を持つこと）をさらに進めたコミュニケーションを学びます。アサーションや交流分析の理論（自他肯定の考え方）など、自分と関係のある周囲の人の考え方を理解した上で自分の考えをポジティブに表現することを身につけます。,階層別訓練,1,〇,6092
セルフマネジメント,モチベーションアップ,SELF03-013,〇,ポジティブシンキングとは？（上級）,1:00:00,HTML,目標を達成できるポジティブな組織を確立するための経営者、管理監督者、幹部職など上司とされる人を対象に、熱を伝え合うコミュニケーション、ポジティブな姿勢に導く表現方法、部下のキャリアの方向性の考え方、精神的に疲れている部下への対処法など、部下とのコミュニケーション法を解説します。,階層別訓練,1,〇,6093
セルフマネジメント,モチベーションアップ,SELF03-014,〇,成長ベクトルモデルの活用法を知る,1:00:00,HTML,本コースでは、戦略的思考や成長ベクトル、シナジーの概要、市場浸透戦略や新製品開発戦略、新市場開拓戦略など、事例に即した「成長ベクトルモデル」を学びます。経営戦略理論の1つ「成長ベクトルモデル」を理解することで「成長ベクトルモデル」を活用できるようになりましょう。,階層別訓練,1,〇,6462
セルフマネジメント,モチベーションアップ,SELF03-015,〇,モチベーションのコントロール法を学ぶ,1:00:00,HTML,モチベーションの概要から動機付けの要因としてマズローの欲求5段階説、マクレガーのX理論・Y理論といった理論、ヒューマン・リソース・マネジメント、組織メンバーのモチベーションを高める方法などを解説します。モチベーションをコントロールして、仕事に対する意欲を高めましょう。,階層別訓練,1,〇,6127
ビジネス推進力,業務改善,BUIS01-001,〇,業務改善,0:36:27,動画,様々な業務を限られた時間でこなしていくには、業務改善の視点が必要不可欠です。本コースでは業務の問題をシンプルに考えるための図解分析、整理整頓から始める職場改善、時間短縮できる効率的な仕事の実践方法について学びます。限られた時間を有効に使って、成果を出せるようになりましょう。,階層別訓練,3,-,2307
ビジネス推進力,業務改善,BUIS01-002,〇,システム開発の標準手順とその応用を学ぶ,1:00:00,HTML,システム開発の基本からシステム開発手順とその考え方、「要求定義」と「要件定義」、進捗管理や評価・改善の重要性など、システム開発の標準手順とその応用について解説します。システムを計画通りに開発する際に必要な考え方や手順を理解して、円滑に開発できるようになりましょう。,階層別訓練,1,〇,6123
ビジネス推進力,業務改善,BUIS01-003,〇,数的思考ベーシック  ～数字を使って仕事を進める技術～,1:26:30,動画,本コースでは「数字を読み取り、加工し、評価する」という基礎的なスキルにはじまり、仕事を大まかに数字で捉える推定力や、説得するためにわかりやすく数字やグラフで伝えるためのエッセンスなどを解説します。ビジネスパーソンに欠かせない数的能力を身につけて日々の業務に活かしましょう。,階層別訓練,10,-,6079
ビジネス推進力,業務改善,BUIS01-004,〇,成果主義のための仕事の整理整頓法,1:00:00,HTML,多くの企業で取り入れられている成果主義制度について、間違えた成果主義制度運用による陥りやすい罠や正しい成果主義制度の運用方法、５W1Hに基づく仕事術、対人関係の作り方、問題の解決方法を解説します。正しい成果主義制度を理解して、効率的に業務をこなせるようになりましょう。,階層別訓練,1,〇,6455
